Автомобили
Ароматерапия
Астрономия
Аэробика
Аэрография
Бадминтон
Батик
Батут
Бег
Бильярд
Блоггерство
Бодиарт
Боевые искусства
Бонсай
Боулинг
Велосипед
Видеомонтаж
Выращивание кристаллов
Выращивание цветов
Вязание
Гербарий
Головоломки
Гольф
Горные лыжи
Граффити
Дайвинг
Дартс
Декупаж
Дерево
Диггерство
Дизайн интерьера
Дизайн одежды
Животные 
Жонглирование
Музыкальные инструменты
Игрушки и куклы
Игры на компьютерах
Кузнечное дело
Учеба
Икебана
Иностранные языки
Йога
Исторические реконструкции
Кайтинг
Каллиграфия
Карвинг
Картинг и квадроциклы
Квест-комнаты
Кладоискательство и археология
Клубный отдых
Коллекционирование
Компьютерная графика
Концерты (посещение)
Коньки и ролики
Косплей
Кроссворды
Кулинария
Лазертаг
Лепка
Лошади (верховая езда, уход)
Лыжи
Массаж
Моделирование
Музеи и выставки
Музыка (написание, ремиксы)
Мыловарение
Настольные игры
Оригами
Открытки
Охота
Паззлы
Парашютный спорт
Паркур
Пейнтбол
Пение и караоке
Переписка по обычной почте
Петанк
Пикап
Пилатес
Писательская деятельность и журналистика
Плавание
Плетение
Предпринимательство
Программирование
Психология и тренинги
Путешествия
Пчеловодство
Радиовещание
Разработка сайтов
Рисование
Рисование по номерам
Робототехника
Рукоделия из кожи
Рыбалка
Самодельные (handmade) вещи
Серфинг
Силовые тренировки
Скейтборд
Скрапбукинг
Сноуборд
Собирание грибов и ягод
Спорт-фанат
Стекло
Страйкбол
Стрельба
Танцы и балет
Татуировки и пирсинг
Театр (театральный кружок)
Теннис
Файер-шоу
Фейерверки
Фокусы
Фотография и фотокниги
Футбол
Шитье и вышивание
